Player,From,To,Pos,Ht,Wt,Birth Date,College
Alaa Abdelnaby\abdelal01,1991,1995,F-C,208,240,June 24 1968,Duke University
Zaid Abdul-Aziz\abdulza01,1969,1978,C-F,205,235,April 7 1946,Iowa State University
Kareem Abdul-Jabbar*\abdulka01,1970,1989,C,218,225,April 16 1947,University of California Los Angeles
Mahmoud Abdul-Rauf\abdulma02,1991,2001,G,185,162,March 9 1969,Louisiana State University
Tariq Abdul-Wahad\abdulta01,1998,2003,F,198,223,November 3 1974,San Jose State University
Shareef Abdur-Rahim\abdursh01,1997,2008,F,205,225,December 11 1976,University of California
Tom Abernethy\abernto01,1977,1981,F,200,220,May 6 1954,Indiana University
Forest Able\ablefo01,1957,1957,G,190,180,July 27 1932,Western Kentucky University
John Abramovic\abramjo01,1947,1948,F,190,195,February 9 1919,Salem International University
Alex Abrines\abrinal01,2017,2017,G-F,198,190,August 1 1993,
Alex Acker\ackeral01,2006,2009,G,195,185,January 21 1983,Pepperdine University
Don Ackerman\ackerdo01,1954,1954,G,182,183,September 4 1930,Long Island University
Mark Acres\acresma01,1988,1993,F-C,210,220,November 15 1962,Oral Roberts University
Bud Acton\actonbu01,1968,1968,F,198,210,January 11 1942,Hillsdale College
Quincy Acy\acyqu01,2013,2017,F,200,240,October 6 1990,Baylor University
Alvan Adams\adamsal01,1976,1988,C-F,205,210,July 19 1954,University of Oklahoma
Don Adams\adamsdo01,1971,1977,F,198,210,November 27 1947,Northwestern University
George Adams\adamsge01,1973,1975,F-G,195,210,May 15 1949,Gardner-Webb University
Hassan Adams\adamsha01,2007,2009,G,193,220,June 20 1984,University of Arizona
Jordan Adams\adamsjo01,2015,2016,G,195,209,July 8 1994,University of California Los Angeles
Michael Adams\adamsmi01,1986,1996,G,177,162,January 19 1963,Boston College
Steven Adams\adamsst01,2014,2017,C,213,255,July 20 1993,University of Pittsburgh
Rafael Addison\addisra01,1987,1997,F-G,200,215,July 22 1964,Syracuse University
Rick Adelman\adelmri01,1969,1975,G,185,175,June 16 1946,Loyola Marymount University
Jeff Adrien\adrieje01,2011,2015,F,200,245,February 10 1986,University of Connecticut
Arron Afflalo\afflaar01,2008,2017,G,195,210,October 15 1985,University of California Los Angeles
Maurice Ager\agerma01,2007,2011,G,195,202,February 9 1984,Michigan State University
Mark Aguirre\aguirma01,1982,1994,F-G,198,232,December 10 1959,DePaul University
Blake Ahearn\ahearbl01,2008,2012,G,187,190,May 27 1984,Missouri State University
Danny Ainge\aingeda01,1982,1995,G,193,175,March 17 1959,Brigham Young University
Matthew Aitch\aitchma01,1968,1968,F,200,230,September 21 1944,Michigan State University
Alexis Ajinca\ajincal01,2009,2017,C,218,248,May 6 1988,
Henry Akin\akinhe01,1967,1969,C-F,208,225,July 31 1944,Morehead State University
